file,sigma,cpus,mode,elapsed_s
results_40438_1.csv,0.8,1,serial,17.795588533277623
results_40438_10.csv,1.6,2,parallel,18.792004748014733
results_40438_11.csv,1.6,4,parallel,18.35230314009823
results_40438_12.csv,1.6,8,parallel,18.013993797940202
results_40438_2.csv,0.8,2,parallel,18.812126160017215
results_40438_3.csv,0.8,4,parallel,18.72808802104555
results_40438_4.csv,0.8,8,parallel,18.490442079026252
results_40438_5.csv,1.2,1,serial,18.494453751016408
results_40438_6.csv,1.2,2,parallel,18.848969412967563
results_40438_7.csv,1.2,4,parallel,18.853434444987215
results_40438_8.csv,1.2,8,parallel,19.042064592940733
results_40438_9.csv,1.6,1,serial,17.988571193884127
results_40450_1.csv,0.8,1,serial,17.427757664117962
results_40450_10.csv,1.6,2,parallel,9.112613730016164
results_40450_11.csv,1.6,4,parallel,4.762027706950903
results_40450_12.csv,1.6,8,parallel,2.499492020928301
results_40450_2.csv,0.8,2,parallel,8.968083727057092
results_40450_3.csv,0.8,4,parallel,4.628096416941844
results_40450_4.csv,0.8,8,parallel,2.509916894021444
results_40450_5.csv,1.2,1,serial,17.780269090202637
results_40450_6.csv,1.2,2,parallel,9.183225622051395
results_40450_7.csv,1.2,4,parallel,4.760481797042303
results_40450_8.csv,1.2,8,parallel,2.585970242973417
results_40450_9.csv,1.6,1,serial,17.79161835683044
