sigma,cpus,mode,elapsed_s,speedup_S,eff_E
0.8,1,serial,17.427757664117962,1.0,1.0
0.8,2,parallel,8.968083727057092,1.9433089826690257,0.9716544913345129
0.8,4,parallel,4.628096416941844,3.765642738193835,0.9414106845484588
0.8,8,parallel,2.509916894021444,6.943559647584516,0.8679449559480645
1.2,1,serial,17.780269090202637,1.0,1.0
1.2,2,parallel,9.183225622051395,1.9361681637775976,0.9680840818887988
1.2,4,parallel,4.760481797042303,3.734972603245654,0.9337431508114135
1.2,8,parallel,2.585970242973417,6.875666546633735,0.8594583183292169
1.6,1,serial,17.79161835683044,1.0,1.0
1.6,2,parallel,9.112613730016164,1.9524166044947546,0.9762083022473773
1.6,4,parallel,4.762027706950903,3.7361433934667936,0.9340358483666984
1.6,8,parallel,2.499492020928301,7.118093679780065,0.8897617099725081
